,Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Population,NZDep2018,NZDep2018_Score
0,5,3.0,714.0,960000,-37.0129205,174.90406940000003,48,27,24,21,24,21,174,6.0,997.0
1,5,3.0,564.0,1250000,-37.0636724,174.9229121,42,18,12,21,15,30,129,1.0,881.0
2,6,4.0,626.0,1250000,-37.063579700000005,174.9240444,42,18,12,21,15,30,129,1.0,881.0
3,2,1.0,65.0,740000,-36.9129964,174.78742490000002,42,6,21,21,12,15,120,2.0,908.0
4,3,1.0,601.0,630000,-36.979036900000004,174.8926119,93,27,33,30,21,33,231,9.0,1091.0
5,3,1.0,100.0,1050000,-36.943928899999996,174.78050149999999,63,15,24,33,30,39,195,4.0,942.0
6,3,1.0,531.0,2525000,-36.849238899999996,174.73445130000002,33,12,18,12,15,9,102,4.0,951.0
7,3,2.0,1024.0,1400000,-36.9077,174.7960425,36,33,39,21,12,24,162,4.0,951.0
8,3,2.0,80.0,475000,-37.033322399999996,174.89811310000002,45,27,15,12,12,12,126,10.0,1164.0
9,4,2.0,204.0,660000,-36.8462083,174.62079440000002,30,27,36,15,24,12,141,6.0,988.0
10,4,2.0,170.0,900000,-36.8462083,174.62079440000002,30,27,36,15,24,12,141,6.0,988.0
11,4,2.0,170.0,660000,-36.8462083,174.62079440000002,30,27,36,15,24,12,141,6.0,988.0
12,3,1.0,637.0,920000,-36.7925353,174.7272634,42,33,36,30,24,24,189,2.0,916.0
13,3,1.0,640.0,570000,-37.0251198,174.87963100000002,69,33,24,21,15,9,171,10.0,1225.0
14,4,2.0,650.0,1150000,-36.9040755,174.69425690000003,54,45,33,18,18,6,174,9.0,1070.0
15,3,1.0,138.0,1200000,-36.9184475,174.7177085,51,36,30,18,18,36,183,9.0,1076.0
16,2,1.0,75.0,640000,-36.9185162,174.7192568,51,36,30,18,18,36,183,9.0,1076.0
17,5,3.0,724.0,640000,-36.621938899999996,174.6639437,51,54,66,24,9,12,219,2.0,899.0
18,5,3.0,429.0,1180000,-36.6233277,174.66401430000002,51,54,66,24,9,12,219,2.0,899.0
19,5,3.0,520.0,590000,-36.621938899999996,174.6639437,51,54,66,24,9,12,219,2.0,899.0
20,3,1.0,1381.0,2080000,-36.910598,174.7633054,27,36,24,18,12,9,135,7.0,1021.0
21,5,4.0,732.0,1800000,-36.7506011,174.67955849999998,63,27,24,51,30,18,213,1.0,861.0
22,4,2.0,799.0,1145000,-36.8896501,174.67460690000001,48,24,30,24,18,27,162,6.0,980.0
23,3,1.0,1105.0,920000,-36.9284876,174.6694885,72,21,30,33,27,15,198,6.0,987.0
24,3,1.0,463.0,1500000,-36.8721796,174.7386307,21,33,18,24,21,12,132,5.0,964.0
25,3,2.0,681.0,1100000,-36.9014454,174.915807,12,12,15,12,15,24,90,3.0,924.0
26,3,2.0,4068.0,710000,-36.6192234,174.7798928,51,18,15,27,36,42,189,1.0,885.0
27,2,1.0,106.0,1020000,-36.887909,174.8432822,45,18,42,51,18,42,213,3.0,936.0
28,3,1.0,713.0,1150000,-36.8924701,174.71401530000003,51,39,15,21,45,33,198,1.0,860.0
29,3,2.0,211.0,1600000,-36.8540672,174.8347488,24,18,27,24,18,51,168,3.0,927.0
30,3,2.0,402.0,1280000,-36.9031776,174.7684391,30,24,18,15,15,30,132,2.0,903.0
31,3,1.0,883.0,2150000,-36.9033021,174.7686074,30,24,18,15,15,30,132,2.0,903.0
32,5,3.0,883.0,2425000,-36.903732399999996,174.77070469999998,30,24,18,15,15,30,132,2.0,903.0
33,4,3.0,883.0,2425000,-36.903732399999996,174.77070469999998,30,24,18,15,15,30,132,2.0,903.0
34,4,1.0,675.0,435000,-37.1914653,174.8967586,96,36,24,24,12,9,204,10.0,1247.0
35,4,3.0,388.0,1300000,-36.9191013,174.7602332,51,48,33,30,18,12,189,6.0,980.0
36,3,2.0,1034.0,1120000,-36.9176375,174.86966619999998,90,48,51,27,36,36,282,9.0,1097.0
37,3,1.0,1295.0,850000,-36.7850631,175.0278712,30,12,9,15,18,33,123,6.0,984.0
38,3,2.0,1102.0,930000,-36.8970908,174.6382264,51,15,24,21,12,24,153,9.0,1075.0
39,3,2.0,551.0,1025000,-37.0639294,174.9194913,51,21,30,21,18,36,177,2.0,914.0
40,3,1.0,809.0,930000,-36.9710412,174.8693896,54,42,39,21,27,36,225,9.0,1069.0
41,2,1.0,1108.0,1225000,-36.916308,174.7598366,39,39,30,24,24,33,189,3.0,935.0
42,6,3.0,745.0,1100000,-36.6089222,174.785329,75,12,30,51,24,42,234,1.0,895.0
43,5,3.0,613.0,1925000,-36.870046200000004,174.8251511,69,12,42,45,18,18,201,1.0,875.0
44,3,1.0,758.0,990000,-36.9198143,174.77225280000002,33,9,18,21,21,6,114,2.0,918.0
45,4,2.0,727.0,920000,-37.0648902,174.9286899,48,21,18,18,39,33,174,1.0,895.0
46,2,1.0,59.0,600000,-36.8900779,174.69238700000002,57,42,33,21,21,21,195,8.0,1030.0
47,4,2.0,260.0,1025000,-36.8896313,174.69248480000002,57,42,33,21,21,21,195,8.0,1030.0
48,3,2.0,126.0,630000,-37.0152515,174.88048799999999,60,36,30,9,18,6,162,10.0,1151.0
49,3,1.0,615.0,1575000,-36.8727657,174.7460271,27,75,33,24,15,18,189,6.0,997.0
50,4,2.0,756.0,1050000,-36.9931422,174.9036367,75,45,42,27,39,66,288,4.0,951.0
51,4,1.0,3609.0,1380000,-37.0172546,174.90741519999997,63,27,39,30,6,24,189,6.0,978.0
52,3,2.0,809.0,830000,-36.7867738,175.01150239999998,18,6,9,21,21,42,132,4.0,945.0
53,3,1.0,431.0,940000,-36.8688531,174.8403044,48,45,27,30,27,21,201,2.0,914.0
54,4,2.0,3648.0,1520000,-36.9507221,174.64134030000002,51,21,15,39,27,27,180,2.0,903.0
